id,NAME,VOTES,ADDRESS,RATING,CATEGORY,COST
0,Onesta,1296,"TF-2 & TF-3, 3rd Floor, MAK Mall, Kankanady, Mangalore",4.6,Casual Dining,800
1,Pabbas,1197,"Sree Krishna Prasad, Lalbagh, Mangalore",4.9,Dessert Parlor,250
2,Barbeque Nation,741,"3rd Floor, MAK Mall, Kankanady, Mangalore",4.5,Casual Dining,"1,600"
3,Machali,659,"Behind Ocean Pearl, Sharada Vidhyalaya Road, Kodailbail, Mangalore",4.5,Casual Dining,800
4,Brick House,180,"New Balmatta Road, Hampankatta, Mangalore",4.0,Casual Dining,500
5,Village Restaurant,477,"Airport Road, Yeyyadi, Kavoor, Mangalore",4.0,Casual Dining,"1,000"
6,Diesel Cafe,419,"Ground Floor, Hotel Prestige, Near Collector's Gate, Balmatta, Mangalore",4.3,Casual Dining,"1,000"
7,Bakers Treat,130,"B.J Mathais complex,Mother Teresa Road , Falnir, Mangalore, Hampankatta, Mangalore",4.1,Bakery,400
8,Kabab Studio,267,"Goldfinch Hotel, Bunts Hostel Road, Near Jyoti Circle, Balmatta, Mangalore",3.9,Casual Dining,"1,500"
9,Brio Cafe and Grill,228,"Sainik Bhavan, Next to St Aloysius College, Lighthouse Hill, Hampankatta, Mangalore",3.8,Café,500
10,Punjab Da Pind,353,"3rd Floor, Excel Mischief Mall, KS Rao Road, Mangalore, KS Rao Nagar, Mangalore",4.2,Casual Dining,"1,000"
11,Spindrift,427,"5th floor, Bharath Mall, Bejai, opp KSRTC Bus Stand, Mangalore",4.3,Microbrewery,700
12,Liquid Lounge,380,"KMC Mercara Trunk Road, Near Hotel Woodside, Balmatta, Mangalore",4.1,Lounge,800
13,Giri Manja's,456,"Near Kalikamba Temple, Gopalkrishna Temple Road, Bhavathi, Mangalore Bhavathi",4.7,Casual Dining,500
14,Basil Cafe,89,"Opp of AFCO Empire Building, Bejai Kapikad Road, Bejai, Mangalore",3.7,Quick Bites,500
